Host ID,Host Name,Neighborhood,District,Latitude,Longitude,Room Type,Minimum Nights,Reviews,Last Review,Monthly Reviews,Number of Listings,Days Available,Price
1,11,2,64,12,5,0,3,30,90,27.0,1,248,195
0,8,1,213,10,10,1,3,200,90,185.0,4,262,80
1,11,1,80,6,8,1,8,27,90,104.0,5,280,44
0,7,2,208,14,1,1,4,79,90,73.0,1,307,156
0,9,1,157,3,8,1,15,9,20,8.0,1,339,85
1,14,1,213,11,10,1,3,155,90,160.0,1,1,125
1,11,1,157,3,9,0,15,4,83,4.0,1,269,115
1,5,2,61,21,17,1,2,34,68,31.0,1,10,69
1,7,2,208,14,1,0,45,134,87,123.0,1,312,225
1,14,1,213,10,9,0,6,27,76,24.0,1,189,125
0,12,2,200,20,13,0,4,126,90,115.0,2,290,219
1,9,2,200,20,12,0,1,234,90,259.0,2,164,99
1,5,1,213,10,13,1,4,202,89,185.0,2,53,69
0,10,3,188,16,20,1,30,28,88,25.0,1,126,79
1,11,1,13,4,15,0,2,309,90,285.0,2,3,135
1,5,1,53,8,5,1,3,14,2,12.0,1,189,250
1,13,2,200,18,9,0,3,4,60,7.0,1,365,250
1,13,1,84,2,3,0,2,80,91,216.0,1,0,250
1,8,2,93,23,14,0,3,2,39,3.0,1,0,80
1,14,1,41,6,9,1,2,294,90,346.0,3,336,70
0,1,1,31,3,1,0,2,150,90,139.0,3,342,165
1,10,4,185,1,0,1,2,166,90,165.0,1,312,70
1,13,1,28,9,21,1,2,47,90,93.0,1,37,50
1,14,0,95,23,19,1,1,219,91,203.0,3,353,40
1,14,1,213,10,8,0,2,193,58,177.0,1,177,150
0,2,2,64,13,6,1,1,84,90,77.0,4,310,125
1,3,2,73,9,0,0,3,114,90,105.0,1,0,196
1,2,1,80,6,8,1,2,213,90,199.0,2,321,110
1,12,2,208,15,1,0,3,86,90,79.0,1,246,170
0,8,2,93,23,14,0,3,80,89,74.0,3,231,165
1,10,2,208,14,1,0,26,38,55,35.0,1,225,150
1,2,2,93,23,18,0,2,18,76,178.0,1,0,100
0,3,1,80,6,7,1,2,206,90,191.0,2,0,65
4,11,2,129,22,10,1,4,122,89,117.0,2,233,99
1,10,1,213,11,10,0,4,33,88,57.0,1,1,200
0,10,1,150,4,7,0,5,52,90,49.0,1,18,150
1,9,1,13,4,15,1,3,126,89,116.0,4,343,90
1,7,1,157,3,8,1,3,51,90,47.0,3,250,120
1,13,2,200,19,12,1,3,199,90,184.0,1,326,75
1,12,1,13,4,17,0,26,30,13,28.0,1,364,175
1,0,2,34,15,1,0,3,3,46,2.0,1,0,125
1,2,2,94,18,2,0,1,41,90,37.0,1,299,275
1,12,2,118,11,4,0,2,109,90,103.0,1,207,299
0,8,1,181,2,4,0,5,151,90,142.0,3,162,135
1,6,2,200,20,13,1,14,0,90,67.05052079249316,2,0,130
1,4,2,118,12,3,1,1,285,90,268.0,1,7,83
1,8,2,34,16,2,1,1,375,90,351.0,1,328,123
0,7,3,104,3,24,1,2,52,89,48.0,2,365,55
1,9,2,94,18,3,0,5,10,91,100.0,1,0,195
1,2,1,13,7,18,1,2,11,63,47.0,1,0,80
1,9,3,124,11,23,0,30,33,44,30.0,5,240,98
1,9,3,165,8,22,1,7,6,38,5.0,5,365,140
1,9,3,124,11,23,0,7,38,88,37.0,5,365,265
0,1,1,213,12,10,0,2,358,90,343.0,2,164,249
1,1,2,94,19,5,2,6,10,25,8.0,1,363,105
1,3,2,93,22,11,1,30,0,88,14.353859183493597,1,365,200
1,7,1,157,3,8,1,2,226,90,211.0,3,250,100
1,14,2,93,22,15,0,1,104,90,99.0,5,247,121
1,14,0,95,23,19,1,1,138,90,144.0,3,323,45
1,6,2,61,21,16,1,5,204,90,191.0,1,192,100
1,11,1,213,11,18,0,2,253,91,303.0,1,125,140
1,13,1,13,4,18,1,2,23,91,21.0,1,91,71
0,6,2,143,13,3,1,2,115,76,116.0,1,75,130
1,11,2,208,13,1,0,5,129,89,121.0,1,286,199
1,5,1,213,9,13,1,4,82,90,112.0,2,60,69
1,12,1,80,5,7,1,3,37,76,34.0,1,0,68
1,8,2,64,13,5,0,1,204,91,203.0,1,192,130
1,0,1,90,13,11,0,2,69,90,64.0,1,58,195
1,14,2,93,22,15,1,1,192,90,183.0,5,245,64
1,14,3,54,19,22,0,2,17,90,15.0,1,292,140
1,12,1,43,6,2,0,2,222,90,211.0,1,279,159
1,11,2,64,13,4,0,3,205,90,195.0,1,0,189
1,0,2,94,19,5,0,3,94,90,95.0,1,3,250
1,5,2,64,14,3,0,3,7,89,6.0,1,351,239
1,11,2,75,15,5,0,2,108,90,108.0,1,201,305
1,13,2,93,22,16,0,3,222,90,209.0,2,232,155
1,0,2,93,23,16,1,1,458,91,457.0,2,258,60
1,8,1,215,1,5,1,2,21,89,25.0,1,272,135
1,3,2,168,18,14,1,7,17,89,29.0,1,341,120
1,3,2,118,12,5,0,3,41,85,38.0,1,244,150
